name,category,was,now,desc,tag_text,tag_color
Sunflower Cooking Oil 1.8L,Pantry,5.95,3.50,Heart-healthy · Bottle,,
Golden Basmati Rice 5kg,Pantry,12.90,8.95,Aged premium grain,,
Fresh Whole Chicken,Fresh,4.20,2.75,Per kg · Farm fresh,FRESH,green
Atlantic Salmon Fillet,Fresh,18.90,13.50,Per kg · Skin-on,,
Cavendish Bananas 1kg,Produce,1.30,0.85,Ecuador · Per kg,800 pts,violet
Hass Avocado 4pk,Produce,5.60,3.40,Ready to eat,,
Greek Yogurt 6 × 150g,Dairy,6.50,4.25,High protein,,
Mature Cheddar 500g,Dairy,8.90,5.95,Block · Aged 12mo,,
Samsung 65" QLED TV,Electronics,1299.00,899.00,4K · Smart TV,,NEW,blue
Instant Pot Duo 7-in-1,Kitchen,99.00,59.00,6qt · Pressure cooker,,
